map_name,start_location（左下）,end_location（右上）
map_1,"116.316468,39.913031","116.328165,39.922037"
map_2,"113.449741,28.139254","113.459922,28.149180"
map_3,"98.606913,26.013319","98.609910,26.016929"
map_4,"113.878692,32.808651","113.894711,32.822177"
map_5,"113.873422,32.785573","113.889437,32.800000"
map_6,"113.890708,32.788278","113.912061,32.800000"
map_7,"115.527024,39.416784","115.580466,39.450110"
map_8,"120.464166,26.353271","120.515275,26.386666"
map_9,"112.616105,42.335055","112.696234,42.371065"
map_10,"116.247500,39.977040","116.295524,40.016667"
map_11,"116.233605,39.944366","116.279262,39.979490"
map_12,"116.268704,39.944579","116.314361,39.979703"
map_13,"103.302916,25.237391","103.331708,25.278916"
map_14,"116.427778,39.909433","116.467572,39.963471"
map_15,"111.937500,43.930456","111.973636,43.965556"
map_16,"114.501492,38.564837","114.546262,38.600871"
map_17,"114.497222,38.556069","114.554620,38.601111"
map_18,"105.857274,38.197789","105.973864,38.289680"
map_19,"115.518435,39.379045","115.590477,39.461910"
map_20,"119.393922,28.998465","119.457586,29.056208"
map_21,"118.437500,34.422018","118.548590,34.520277"
map_22,"117.773355,24.687243","117.849487,24.766688"
map_23,"116.263674,39.868158","116.330347,39.921296"
map_24,"116.208889,39.950693","116.275647,40.008333"
map_25,"112.934174,38.051496","112.993469,38.113659"
map_26,"115.468389,39.410079","115.581072,39.444306"
map_27,"114.430000,41.938193","114.522987,42.033626"
map_28,"114.430000,41.910283","114.535063,42.033626"
map_29,"114.359088,41.827550","114.451878,41.897776"
map_30,"76.016666,39.777948","76.077428,39.850000"
map_31,"108.322800,34.706565","108.428790,34.792200"
map_32,"109.564400,36.855060","109.622733,36.887500"
map_33,"109.611100,36.865141","109.647010,36.913800"
map_34,"105.737933,38.078788","105.913798,38.222032"
map_35,"114.961320,40.456171","115.166871,40.593053"
map_36,"121.300833,24.980910","121.503195,25.171388"
map_37,"121.113611,24.879795","121.266190,25.023333"
map_38,"121.207777,24.945351","121.360438,25.088888"
map_39,"118.012500,32.468743","118.133920,32.584166"
map_40,"117.083888,23.553103","117.234885,23.696666"
map_41,"109.400000,40.791148","109.570863,40.887500"
map_42,"122.690000,45.006929","122.885827,45.150000"
map_43,"125.270000,38.714096","125.505177,38.904166"
map_44,"109.640901,23.041476","109.713159,23.148027"
map_45,"106.663260,21.866952","106.812406,22.010545"
map_46,"119.499181,23.503111","119.699036,23.587083"
map_47,"120.576083,24.360453","120.737888,24.497681"
map_48,"120.646175,24.494944","120.837769,24.623142"
map_49,"115.374278,22.599420","115.446322,22.743000"
map_50,"112.440833,42.233161","112.639937,42.370000"
map_51,"116.390000,39.846255","116.476628,39.976847"
map_52,"114.482030,41.813458","114.631530,41.928700"
map_53,"75.704100,40.140077","75.944153,40.330100"
map_54,"75.750000,40.171498","75.990053,40.330000"
map_55,"73.883333,39.591482","74.028016,39.750000"
map_56,"78.065833,41.168145","78.249732,41.308611"
map_57,"79.072222,41.496934","79.244875,41.571666"
map_58,"82.370000,45.089037","82.629908,45.260000"
map_59,"78.783333,33.356643","78.949062,33.500000"
map_60,"78.670350,33.593764","78.890610,33.783997"
map_61,"130.225067,42.203721","130.387618,42.318955"
map_62,"129.702873,41.759687","129.840201,41.874929"
map_63,"129.098282,40.679574","129.245209,40.794838"
map_64,"127.517967,39.933820","127.675035,40.064410"
map_65,"125.779724,39.652680","125.936145,39.780574"
map_66,"125.237617,38.672506","125.391845,38.787810"
map_67,"125.609779,39.560703","125.765984,39.684997"
map_68,"126.400000,39.596212","126.591378,39.758333"
map_69,"127.526111,39.758243","127.659352,39.867222"
map_70,"91.792300,27.668018","91.948594,27.811500"
map_71,"88.598600,28.041626","88.755434,28.185100"
map_72,"96.980700,28.360632","97.138003,28.504100"
map_73,"116.240000,39.869409","116.408630,40.000000"
map_74,"116.202778,39.968884","116.383488,40.140000"
map_75,"124.431944,40.164695","124.577664,40.239444"
map_76,"120.990988,24.805783","121.143476,24.949322"
map_77,"114.466666,38.533340","114.609077,38.633333"
map_78,"116.835833,40.201947","117.005390,40.373056"
map_79,"113.870000,22.176412","114.019473,22.320000"
map_80,"114.210000,22.336415","114.408229,22.480000"
map_81,"38.328497,48.561535","38.537726,48.704517"
map_82,"37.673872,48.091047","37.880951,48.178283"
map_83,"109.539722,36.266712","109.711416,36.410000"
map_84,"109.320000,36.486524","109.436152,36.546000"
map_85,"109.226388,40.795879","109.480341,40.895833"
map_86,"121.284085,25.038418","121.486542,25.228894"
map_87,"121.499975,23.925446","121.651369,24.038305"
map_88,"97.703733,22.921271","97.805187,23.017891"
map_89,"96.985287,22.492920","97.086425,22.589545"
map_90,"114.086593,41.815801","114.401446,41.965255"
map_91,"79.076111,41.533626","79.281774,41.772222"
map_92,"78.811944,41.440479","79.160971,41.594444"
map_93,"78.964166,41.431704","79.367055,41.576666"
map_94,"116.100660,39.917122","116.400346,40.244042"
map_95,"113.700833,32.619538","114.032557,33.001861"
map_96,"116.018202,39.764832","116.411344,40.146698"
map_97,"82.353333,45.068297","82.748634,45.309444"
map_98,"116.836099,39.827872","117.171295,40.295289"
map_99,"113.825065,22.187105","114.393885,22.570000"
map_100,"112.418453,42.072906","112.673589,42.415908"
map_101,"115.895762,39.488964","116.564962,40.174356"
map_102,"103.290500,24.621091","104.055369,25.339680"
map_103,"88.208333,26.599143","90.087797,28.504166"
map_104,"119.840000,23.514165","121.867748,25.420000"
